Region,Year,"Number_thousands","Median_income_Current_dollars","Median_income_2023_dollars","Mean_income_Current_dollars","Mean_income_2023_dollars"
Northeast,1985 (20),"18,560","25,490","64,800","31,150","79,190"
Northeast,1984 (19),"18,350","23,550","61,910","28,650","75,310"
Northeast,1983,"18,200","21,820","59,760","26,280","71,980"
Northeast,1982,"17,930","20,710","59,100","24,730","70,590"
Northeast,1981,"18,000","19,830","60,000","23,190","70,190"
Northeast,1980,"17,780","18,190","60,320","21,450","71,120"
Northeast,1979 (18),"17,470","16,860","62,090","20,100","74,010"
Northeast,1978,"17,230","15,510","62,510","18,150","73,150"
Northeast,1977,"17,170","14,230","61,290","16,680","71,830"
Northeast,1976 (17),"16,860","13,070","59,940","15,170","69,530"
Northeast,1975 (16),"16,430","12,340","59,800","14,460","70,070"
Midwest,2023,"28,410","81,020","81,020","111,000","111,000"
Midwest,2022,"28,280","73,070","75,980","102,400","106,500"
Midwest,2021,"28,050","71,130","79,650","98,470","110,300"
Midwest,2020 (41),"27,810","67,380","78,830","95,840","112,100"
Midwest,2019,"27,760","68,350","80,800","94,010","111,100"
Midwest,2018,"27,690","64,070","76,860","87,040","104,400"
Midwest,2017 (40),"27,660","61,120","74,800","84,740","103,700"
Midwest,2017,"27,640","61,140","74,810","83,050","101,600"
Midwest,2016,"27,360","58,310","72,600","79,850","99,430"
Midwest,2015,"27,460","57,080","71,710","76,760","96,440"
Midwest,2014,"27,460","54,270","68,120","73,480","92,250"
Midwest,2013 (39),"27,430","53,430","68,020","72,750","92,630"
Midwest,2013 (38),"27,210","52,080","66,310","69,790","88,860"
Midwest,2012,"27,090","50,480","65,050","69,340","89,360"
Midwest,2011,"26,870","48,720","64,000","66,200","86,950"
Midwest,2010 (37),"26,770","48,240","65,330","63,880","86,510"
Midwest,2009 (36),"26,390","48,880","67,100","63,970","87,830"
Midwest,2008,"26,280","50,110","68,520","64,830","88,650"
Midwest,2007,"26,270","50,280","71,270","65,730","93,170"
Midwest,2006,"26,510","47,840","69,550","63,120","91,770"
Midwest,2005,"26,350","45,950","68,740","60,350","90,280"
Midwest,2004 (35),"25,940","44,640","68,720","58,400","89,900"
Midwest,2003,"25,640","44,730","70,580","58,340","92,050"
Midwest,2002,"25,630","43,620","70,270","56,920","91,680"
Midwest,2001,"25,760","43,830","71,490","56,940","92,870"
Midwest,2000 (30),"25,220","44,260","73,810","57,480","95,850"
Midwest,1999 (29),"24,910","42,510","73,340","54,330","93,720"
Midwest,1998,"24,490","40,610","71,510","52,430","92,320"
Midwest,1997,"24,240","38,320","68,390","49,250","87,900"
Midwest,1996,"23,970","36,580","66,690","46,650","85,050"
Midwest,1995 (25),"23,710","35,840","67,070","45,340","84,850"
Midwest,1994 (24),"23,680","32,510","62,260","41,600","79,680"
Midwest,1993 (23),"23,390","31,400","61,460","39,440","77,200"
Midwest,1992 (22),"23,110","30,800","61,790","37,850","75,930"
Midwest,1991,"23,330","29,930","61,550","36,720","75,520"
Midwest,1990,"23,220","29,900","63,730","36,390","77,560"
Midwest,1989,"22,760","28,750","64,260","35,220","78,720"
Midwest,1988,"22,630","27,540","64,260","33,320","77,740"
Midwest,1987 (21),"22,410","25,790","62,390","31,270","75,670"
Midwest,1986,"21,970","24,850","62,160","29,650","74,160"
Midwest,1985 (20),"21,850","23,550","59,880","28,150","71,570"
Midwest,1984 (19),"21,700","22,590","59,380","26,610","69,960"
Midwest,1983,"21,460","21,070","57,710","24,990","68,450"
Midwest,1982,"21,330","20,820","59,420","24,160","68,960"
Midwest,1981,"21,250","19,690","59,600","22,810","69,040"
Midwest,1980,"21,200","18,310","60,720","21,260","70,500"
Midwest,1979 (18),"20,910","17,310","63,720","20,000","73,630"
Midwest,1978,"20,550","15,670","63,170","18,000","72,570"
Midwest,1977,"20,240","14,270","61,450","16,470","70,940"
Midwest,1976 (17),"19,630","13,680","62,740","15,730","72,100"
Midwest,1975 (16),"19,260","12,570","60,940","14,260","69,110"
South,2023,"51,550","73,280","73,280","105,400","105,400"
South,2022,"51,080","68,230","70,940","98,250","102,200"
South,2021,"50,610","63,370","70,960","92,800","103,900"
South,2020 (41),"49,760","61,480","71,930","89,660","104,900"
South,2019,"49,490","61,880","73,150","90,410","106,900"
South,2018,"49,740","57,300","68,730","81,960","98,320"
South,2017 (40),"48,630","55,780","68,250","80,270","98,230"
South,2017,"48,590","55,710","68,170","79,780","97,630"
South,2016,"48,070","53,860","67,070","77,290","96,240"
South,2015,"47,820","51,170","64,290","73,690","92,570"
South,2014,"47,040","49,660","62,330","70,990","89,120"
South,2013 (39),"46,550","49,850","63,470","69,370","88,320"
South,2013 (38),"46,500","48,130","61,280","67,030","85,340"
South,2012,"45,940","48,030","61,900","66,140","85,230"
South,2011,"45,600","46,900","61,600","65,780","86,410"
